id,name,produzent,nation,lokal1,lokal2,lokal3,lokal4,sorten1,sorten2,sorten3,sorten4,sorten5,sorten6,sorten7,sorten8,sorten9,sorten10,sorten11,sorten12,typ,verwendung,alc,temperatur,suesse,saeurengehalt ,koerper,gerbstoff,preis,jahr,ml
150202,Finest Barolo,Tesco Finest,Italy,Piemonte,Barolo,,,Nebbiolo,,,,,,,,,,,,Red,Table,14,17,1,4,3,3,57.94890227,2012,750
150205,Finest Vina Mara Rioja Reserva,Tesco Finest,Spain,Rioja,,,,Tempranillo,,,,,,,,,,,,Red,Table,12.5,17,1,3,4,3,24.94003389,2007,750
150206,Finest Vina Mara Rioja Gran Reserva,Tesco Finest,Spain,Rioja,,,,Tempranillo,,,,,,,,,,,,Red,Table,12.5,17,1,3,3,3,35.94299002,2005,750
150211,"Vina Pomal, Reserva",Codorniu,Spain,Rioja,,,,Tempranillo,,,,,,,,,,,,Red,Table,14,17,1,3,4,4,35.20945961,2014,750
150212,"Vina Pomal, Crianza",Codorniu,Spain,Rioja,,,,Tempranillo,,,,,,,,,,,,Red,Table,14,17,1,3,3,3,41.07770288,2015,750
150218,Mount Riley Pinot Noir,Mount Riley,New Zealand,South Island,Marlborough,,,Pinot Noir,,,,,,,,,,,,Red,Table,13.5,15,1,5,3,3,46.94594614,2010,750
150223,Solar de Ricot,SA Capel Vinos SA,Spain,,,,,Tempranillo,Garnacha,,,,,,,,,,,Red,Table,12,17,1,3,3,3,14.67060817,2014,750
150225,"Donnhoff, Riesling Trocken",Donnhoff,Germany,Nahe,Oberhausen,,,Riesling,,,,,,,,,,,,White,"Appetizer, Table",11.5,10,1,5,3,1,51.3471286,2019,750
150227,Chono San Lorenzo,GEO Wines,Chile,Maipo Valley,,,,Carmenere,Cabernet Sauvignon,Syrah & Shiraz,Cabernet Franc,Petite Sirah,,,,,,,,Red,Table,13.5,17,1,3,4,3,51.3471286,2008,750
150228,Chono Chardonnay,GEO Wines,Chile,Maipo Valley,,,,Chardonnay,,,,,,,,,,,,White,Table,13.5,13,1,3,2,1,18.33826021,2009,750
150229,Chono Reserva Cabernet Sauvignon,GEO Wines,Chile,Maipo Valley,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,17,1,3,3,3,25.6735643,2009,750
150230,Chono Reserva Carmenere,GEO Wines,Chile,Maipo Valley,,,,Carmenere,,,,,,,,,,,,Red,Table,13.5,17,1,3,3,3,25.6735643,2009,750
150231,Chono Reserva Sauvignon Blanc,GEO Wines,Chile,Aconcagua,Casablanca Valley,,,Sauvignon blanc,,,,,,,,,,,,White,Table,12.5,12,1,4,2,1,16.13766899,2010,750
150232,Rayun Cabernet Sauvignon,GEO Wines,Chile,Central Valley,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13,17,1,3,3,3,13.20354735,2010,750
150233,Rayun Carmenere,GEO Wines,Chile,Central Valley,,,,Carmenere,,,,,,,,,,,,Red,Table,13,17,1,3,2,3,13.20354735,2010,750
150240,Aurelius,Union de Producteurs de SaintEmilion,France,Bordeaux,SaintEmilion Grand Cru,,,Merlot,Cabernet Franc,,,,,,,,,,,Red,Table,13,17,1,3,4,4,130.5684127,2005,750
150245,Galius,Union de Producteurs de SaintEmilion,France,Bordeaux,SaintEmilion Grand Cru,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,,,,,,,Red,Table,13,17,1,3,4,3,90.22424025,2004,750
150246,Petite Sirene,Chateau Giscours Grand Cru Classe3rd Cru,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,13,17,1,3,3,3,28.60768593,2015,750
150253,"Donnhoff, Oberhauser Bruecke Riesling Spatlese 'Monopol'",Donnhoff,Germany,Nahe,,,,Riesling,,,,,,,,,,,,White,"Appetizer, Dessert",8,13,3,5,3,1,168.711994,2010,750
150254,"Donnhoff, Oberhauser Bruecke 1er Riesling Auslese G.K",Donnhoff,Germany,Nahe,,,,Riesling,,,,,,,,,,,,White,Dessert,8,13,4,2,3,1,150.3737337,2010,375
150255,"Donnhoff, Oberhauser Bruecke 1er Riesling Eiswein",Donnhoff,Germany,Nahe,,,,Riesling,,,,,,,,,,,,White,"Appetizer, Dessert",8,13,5,3,3,1,638.1714554,2010,375
150257,"Donnhoff, Norhemer Kirschheck 1er Riesling Spatlese",Donnhoff,Germany,Nahe,,,,Riesling,,,,,,,,,,,,White,"Appetizer, Dessert",8,13,3,5,3,1,128.3678215,2010,750
150258,"Santa Digna, Estelado Rose",Miguel Torres,Chile,Maule Valley,,,,Pais,,,,,,,,,,,,Sparkling,"Appetizer, Dessert",12.5,10,2,2,2,1,23.47297307,2016,750
150259,Rupert & Rothschild Classique,Rupert Rothschild Vignerons,the Republic of South Africa,Western Cape,,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13.5,17,1,4,4,4,48.41300696,2012,750
150260,Rupert & Rothschild Baroness Nadine Chardonnay,Rupert Rothschild Vignerons,the Republic of South Africa,Western Cape,,,,Chardonnay,,,,,,,,,,,,White,Table,13.5,11,1,4,4,1,92.42483147,2014,750
150261,"Santa Ema, Amplus Cabernet Sauvignon ",Santa Ema,Chile,Maipo Valley,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14,17,1,4,3,4,57.21537186,2014,750
150264,"Santa Ema, Catalina",Santa Ema,Chile,Maipo Valley,,,,Cabernet Sauvignon,Carmenere,Cabernet Franc,,,,,,,,,,Red,Table,14,17,1,3,4,4,86.5565882,2013,750
150265,"Santa Ema, Select Terrior Chardonnay",Santa Ema,Chile,Maipo Valley,,,,Chardonnay,,,,,,,,,,,,White,Table,12.5,11,1,3,2,1,26.40709471,2016,750
150267,"Santa Ema, Reserve Cabernet Sauvignon ",Santa Ema,Chile,Maipo Valley,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,17,1,3,4,3,41.07770288,2017,750
150269,"Santa Ema, Reserve Merlot",Santa Ema,Chile,Maipo Valley,,,,Merlot,,,,,,,,,,,,Red,Table,13.5,17,1,3,3,3,41.07770288,2014,750
150271,"Domaine Laurent pere et fils, Bourgogne Cuvee MCMXXVI",Domaine Laurent pere et fils,France,Bourgogne,,,,Pinot Noir,,,,,,,,,,,,Red,Table,13,16,1,5,3,2,80.68834494,2011,750
150272,"Feudo Arancio, Cabernet Sauvignon",Feudo Arancio,Italy,Sicilia,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,17,1,3,4,3,23.47297307,2009,750
150285,Chateau Griviere,Chateau Griviere,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,13,17,1,3,3,3,47.67947655,2006,750
150286,Chateau Romefort,Chateau Romefort,France,Bordeaux,HautMedoc,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,13,17,1,3,4,3,55.01478064,2006,750
150287,Chateau Vieux Despagnet,Phillippe Faure,France,Bordeaux,SaintEmilion Grand Cru,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,,,,,,,Red,Table,13,17,1,3,4,4,95.35895311,2007,750
150288,Chateau d'Arsac,Maison Hebrard,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,12,17,1,4,3,3,57.94890227,2011,750
150289,Chateau Tayac,Chateau Tayac,France,Bordeaux,Margaux,,,Merlot,Cabernet Sauvignon,Petit Verdot,,,,,,,,,,Red,Table,13,17,1,3,4,4,88.02364902,2007,750
150290,Chateau Tour La Verite,Chateau Tour La Verite,France,Bordeaux,,,,Cabernet Sauvignon,Merlot,Petit Verdot,,,,,,,,,,Red,Table,12.5,17,1,4,3,3,25.6735643,2016,750
150291,Chateau Plantey,Chateau Plantey,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,13,17,1,3,4,5,102.6942572,2007,750
150321,"Lapostolle, Sauvignon Blanc",Lapostolle Casa Lapostolle,Chile,Rapel Valley,,,,Sauvignon blanc,Cabernet Sauvignon,Semillon,,,,,,,,,,White,Table,13,10,1,3,2,1,27.87415552,2015,750
150325,Wills Domain Cabernet Merlot,Domain Wills,Australia,Western Australia,Margaret River,,,Cabernet Sauvignon,Merlot,Malbec,Petit Verdot,Cabernet Franc,,,,,,,,Red,Table,14,16,1,3,5,4,126.9007607,2007,750
150326,Wills Domain Reserve Cabernet Sauvignon,Domain Wills,Australia,Western Australia,Margaret River,,,Cabernet Sauvignon,Merlot,Malbec,Petit Verdot,Cabernet Franc,,,,,,,,Red,Table,13.5,16,1,3,4,4,145.2390209,2007,750
150327,Wills Domain Semillon Sauvignon Blanc,Domain Wills,Australia,Western Australia,Margaret River,,,Semillon,Sauvignon blanc,,,,,,,,,,,White,Dessert,13,10,5,3,3,1,106.3619092,2010,750
150330,"Luce Della Vite, Brunello di Montalcino",Luce Della Vite,Italy,Toscana,Montalcino,,,Sangiovese,,,,,,,,,,,,Red,Table,15.5,16,1,3,4,4,209.7896968,2012,750
150331,"Castellare, I Sodi San Niccolo ",Castellare di Castellina,Italy,Toscana,,,,Sangiovese,Malvasia nera,,,,,,,,,,,Red,Table,14,17,1,4,4,4,127.6342911,2016,750
150349,Fantini Primo Sangiovese Merlot,Fantini Group,Italy,Abruzzo,,,,Sangiovese,Merlot,,,,,,,,,,,Red,Table,12.5,17,1,3,3,3,26.40709471,2017,750
150351,"Roger Goulart, Gran Cuvee",Roger Goulart,Spain,Penedes,,,,Chardonnay,Xarel.lo,Macabeo,Parellada,,,,,,,,,Sparkling,Appetizer,12,7,1,3,4,1,77.02069289,2013,750
150352,El Principal,Vina El Principal,Chile,Maipo Valley,,,,Cabernet Sauvignon,Carmenere,,,,,,,,,,,Red,Table,15,17,1,4,5,5,183.3826021,2008,750
150354,Vina El Principal Calicanto,Vina El Principal,Chile,Maipo Valley,,,,Cabernet Sauvignon,Carmenere,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,14.5,17,1,3,4,3,40.34417247,2011,750
150357,Martin Cendoya Reserva,Heredad Ugarte,Spain,Rioja,,,,Tempranillo,Graciano,Mazuelo,,,,,,,,,,Red,Table,13.5,17,1,3,4,4,102.6942572,2007,750
150358,Dominio de Ugarte Reserva,Heredad Ugarte,Spain,,,,,Tempranillo,Graciano,,,,,,,,,,,Red,Table,13.5,17,1,3,4,3,51.3471286,2010,750
150359,Heredad Ugarte Crianza,Heredad Ugarte,Spain,Rioja,,,,Tempranillo,Graciano,,,,,,,,,,,Red,Table,13.5,17,1,3,3,3,33.00886838,2010,750
150360,Ugarte,Heredad Ugarte,Spain,Rioja,,,,Tempranillo,Graciano,,,,,,,,,,,Red,Table,13.5,17,1,3,3,3,25.6735643,2011,750
150363,"Vigneti del Vulture, Piano del Cerro",Vigneti del Vulture,Italy,Basilicata,,,,Aglianico,,,,,,,,,,,,Red,Table,14.5,17,1,2,5,4,107.0954396,2015,750
150367,"San Pedro, 35 South Reserva Chardonnay",San Pedro,Chile,Rapel Valley,,,,Chardonnay,,,,,,,,,,,,White,Table,12.5,11,1,3,2,1,19.80532103,2017,750
150368,"Nederburg, Rose",Distell,the Republic of South Africa,Western Cape,,,,Pinotage,,,,,,,,,,,,Rose,Table,12.5,13,2,4,3,2,18.33826021,2018,750
